DATE,YEAR,MONTH,DAY,RAIN_GAUGE_ID,QUADRANT,AMOUNT,RAIN_GAUGE_MOVED,LATITUDE,LONGITUDE,LOCATION
August 11 2016,2016,August,11,P111,NW,12,,53.71576061,-113.59040138,POINT (-113.59040138 53.71576061)
June 26 2013,2013,June,26,P229,NE,26,,53.60013186,-113.27068040,POINT (-113.27068040000002 53.60013186)
June 11 2013,2013,June,11,P317,SE,11,,53.33784178,-113.29399070,POINT (-113.2939907 53.33784178)
July 21 2014,2014,July,21,P309,SE,12,,53.45465200,-113.38146300,POINT (-113.38146300000001 53.454652)
June 01 2015,2015,June,1,P101,NW,3,,53.54194589,-113.69462424,POINT (-113.69462424000001 53.54194589)
August 30 2016,2016,August,30,P133,NW,36,,53.62757771,-113.68026670,POINT (-113.6802667 53.62757771)
June 11 2018,2018,June,11,P012,SW,40,,53.34437300,-113.66550800,POINT (-113.665508 53.344373)
August 08 2014,2014,August,8,P107,NW,2,,53.62850900,-113.56359200,POINT (-113.563592 53.62850900000001)
June 03 2015,2015,June,3,P225,NE,5,,53.59911080,-113.22137922,POINT (-113.22137922000002 53.5991108)
August 21 2015,2015,August,21,P013,SW,17,,53.36687199,-113.66443501,POINT (-113.66443501 53.36687199000001)
June 03 2014,2014,June,3,P214,NE,0,,53.68321000,-113.31982000,POINT (-113.31982 53.68321)
June 17 2013,2013,June,17,P112,NW,2,,53.74526601,-113.59539388,POINT (-113.59539387750002 53.7452660082)
September 18 2017,2017,September,18,P316,SE,20,,53.36697969,-113.29523572,POINT (-113.29523572000001 53.36697969000001)
July 08 2013,2013,July,8,P213,NE,11,,53.65775709,-113.31977294,POINT (-113.31977294 53.65775709)
July 31 2015,2015,July,31,P009,SW,17,,53.44516553,-113.68892766,POINT (-113.68892766 53.44516553)
June 06 2012,2012,June,6,P107,NW,7,,53.59958000,-113.58809000,POINT (-113.58809 53.59958)
May 30 2014,2014,May,30,P216,NE,14,,53.74499000,-113.32213000,POINT (-113.32213 53.74499)
October 24 2016,2016,October,24,P307,SE,-1,,53.39601040,-113.39376064,POINT (-113.39376064 53.3960104)
July 07 2014,2014,July,7,P107,NW,30,,53.62850900,-113.56359200,POINT (-113.563592 53.62850900000001)
August 11 2016,2016,August,11,P109,NW,8,,53.65698222,-113.59265710,POINT (-113.5926571 53.65698222)
September 15 2017,2017,September,15,P002,SW,14,,53.48244823,-113.88568025,POINT (-113.88568025 53.48244823)
August 08 2014,2014,August,8,P202,NW,0,,53.65769600,-113.49167500,POINT (-113.49167500000001 53.657696)
August 23 2012,2012,August,23,P308,SE,23,,53.42512000,-113.39346000,POINT (-113.39346000000002 53.42512)
July 02 2014,2014,July,2,P120,NW,28,,53.71719600,-113.69437800,POINT (-113.694378 53.71719600000001)
July 15 2013,2013,July,15,P315,SE,22,,53.39559737,-113.29529097,POINT (-113.29529097 53.39559737)
October 03 2016,2016,October,3,P317,SE,28,,53.33808029,-113.29399345,POINT (-113.29399345 53.33808029)
July 21 2017,2017,July,21,P211,NE,9,,53.65748877,-113.39363303,POINT (-113.39363303 53.65748877000001)
June 20 2014,2014,June,20,P231,NE,11,,53.57320000,-113.27058000,POINT (-113.27058 53.5732)
May 30 2014,2014,May,30,P231,NE,20,,53.57320000,-113.27058000,POINT (-113.27058 53.5732)
July 08 2013,2013,July,8,P212,NE,1,,53.62957198,-113.39963336,POINT (-113.39963336 53.62957198)
June 03 2013,2013,June,3,P315,SE,6,,53.39559737,-113.29529097,POINT (-113.29529097 53.39559737)
